lat,lng,tweet_location,user
35.78551,-78.64267,"Raleigh, NC",FoxLiquorBar
36.06908,-79.79503,"Greensboro, NC",Rodney_Crouse
33.76672,-118.1924,"Long Beach, CA",TastyYummies
35.47203,-97.52107,"Oklahoma City, OK",OKCHomeSales
40.69245,-73.99036,"Brooklyn, NY",katycopes
34.20974,-77.83882,"Seagate, NC",kerrikdavis
35.747,-81.68618,"Morganton, NC",leslwc
38.01393,-122.13494,"Martinez, CA",reenbean14
33.42551,-111.93724,"Tempe, AZ",CoffeeWJeannie
36.84686,-76.28514,"Norfolk, VA",summerdawnVT
29.76058,-95.36968,"Houston, TX",gacman57
27.94653,-82.45927,"Tampa, FL",IG_Gourmet
37.68698,-97.33558,"Wichita, KS",BigRachG
38.62853,-90.31985,"Richmond Heights, MO",emily_roselo
33.14083,-117.16016,"San Marcos, CA",RuslanKD
40.4130568,-82.71121519,"Cleveland, OH",chad_hawley
41.56266,-72.64984,"Middletown, CT",TheNewModernMom
42.99960434,-107.5516102,"Jackson Hole, WY",Kelli_MI
39.61334835,-74.728565,"Newark, NJ",Captain_Dan95
40.7145,-74.00601,"Manhattan, NY",g7tenor
36.83273,-76.29771,"Portsmouth, VA",KaraWAVY
29.56796,-98.2721,"Schertz, TX",pphotoessence
31.46273305,-99.33305009,"Dallas, TX",bigdaddiesteph
40.3092,-74.46491,"Clearbrook Park, NJ",JayAronowitz
41.71936,-86.90317,"Michigan City, IN",RachelHenckel
39.10344,-94.58311,"Kansas City, MO",arthuradesign
40.7145,-74.00601,"Manhattan, NY",lucywhatimean
38.64241494,-80.61361664,"Charleston, WV",kimmewalker
47.60357,-122.32945,"Seattle, WA",DancesWithRain
34.05349,-118.24532,"Los Angeles, CA",ninman64
47.60357,-122.32945,"Seattle, WA",DancesWithRain
42.49913,-90.66327,"Dubuque, IA",AmberBenko
34.05538,-117.18259,"Redlands, CA",madsmaps
47.60357,-122.32945,"Seattle, WA",DancesWithRain
35.53934434,-79.18541791,"Charlotte, NC",wesleyjeanne2
42.74412,-73.76182,"Latham, NY",talabistro
39.162,-84.45689,"Cincinnati, OH",DavidREnglish
42.99960434,-107.5516102,"Jackson Hole, WY",Kelli_MI
39.71092,-105.08207,"Lakewood, CO",MikeBaltus
40.7145,-74.00601,"Manhattan, NY",AndreaEPalesh
40.11404657,-89.1586509,"Chicago, IL",FleetFeetBlm
38.57944,-121.49085,"Sacramento, CA",scottlay
39.10344,-94.58311,"Kansas City, MO",arthuradesign
41.19185,-111.96758,"South Ogden, UT",mtheodoreb
39.96377003,-75.59539998,Mabel's BBQ,soverycleveland
40.69245,-73.99036,"Brooklyn, NY",CatchGifUCan
39.92086,-105.07058,"Broomfield, CO",rebekahljohnson
45.51179,-122.67563,"Portland, OR",FoxandBones
39.10344,-94.58311,"Kansas City, MO",arthuradesign
6.98613,80.81386,Editors Park,adinalav
41.88425,-87.63245,"Chicago, IL",BeingZhenya
32.71568,-117.16171,"San Diego, CA",ohsillyjo
40.99207,-74.03598,"Westwood, NJ",Anastasia71
40.99207,-74.03598,"Westwood, NJ",Anastasia71
41.62505,-93.71243,"Urbandale, IA",JennaKDay
38.36798275,-92.47774662,"St Louis, MO",mrspammo
41.31378,-81.50465,"Macedonia, OH",Lizabelllaa
39.10344,-94.58311,"Kansas City, MO",arthuradesign
41.88425,-87.63245,"Chicago, IL",BrittanyJLadd
32.96074,-96.73297,"Richardson, TX",loubiesandlulu
34.05349,-118.24532,"Los Angeles, CA",JessicaGottlieb
47.60357,-122.32945,"Seattle, WA",DancesWithRain
41.88425,-87.63245,"Chicago, IL",jpar0
41.69897,-71.46206,"Warwick, RI",Kadamo
36.16784,-86.77816,"Nashville, TN",carriedod
38.36798275,-92.47774662,"St Louis, MO",CA_Young
39.10344,-94.58311,"Kansas City, MO",arthuradesign
40.714,-73.82999,"Queens, NY",RMBouton
30.26759,-97.74299,"Austin, TX",Steph_Demco
40.7145,-74.00601,"Manhattan, NY",kellyFreckles
6.98613,80.81386,Editors Park,adinalav
37.5128205,-78.69794871,"Richmond, VA",techybecky50
38.25489,-85.76666,"Louisville, KY",nicolestipp
34.05349,-118.24532,"Los Angeles, CA",MandiHefflinger
40.99207,-74.03598,"Westwood, NJ",Anastasia71
41.88425,-87.63245,"Chicago, IL",BrittanyJLadd
38.62775,-90.19956,"St Louis, MO",catherinegilb09
41.58981,-93.61538,"Des Moines, IA",CapitalChiroDSM
41.97646,-91.67346,"Cedar Rapids, IA",RotaryCR
39.10344,-94.58311,"Kansas City, MO",arthuradesign
47.60357,-122.32945,"Seattle, WA",thekitchendoor
47.60357,-122.32945,"Seattle, WA",DancesWithRain
33.74831,-84.39111,"Atlanta, GA",ThugDebugger
37.33865,-121.88542,"San Jose, CA",jerykahbaduisms
33.56164,-81.72214,"Aiken, SC",deiser11
45.51179,-122.67563,"Portland, OR",CrispNoPo
47.60357,-122.32945,"Seattle, WA",DancesWithRain